source,source_url,saved_filename,bytes,content_type
A_portal,https://strazh.rubezh.com/assets/files/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE_%D0%BF%D0%BE_%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,Руководство_по_эксплуатации.pdf,1497536,application/pdf
A_portal,https://strazh.rubezh.com/assets/img/Rubezh%20STRAZH%202022-3%201.png,Rubezh STRAZH 2022-3 1.png,141157,image/png
A_portal,http://files.rubezh.ru/privacy_policy/privacy_policy_tdrubezh.pdf,privacy_policy_tdrubezh.pdf,497460,application/pdf
A_portal,https://files.rubezh.ru/privacy_policy/cookies-agreement_rubezh.docx,cookies-agreement_rubezh.docx,13725,application/vnd.openxmlformats-officedocument.wordprocessingml.document
B_td,https://td.rubezh.ru/download/strazh/rubezh-strazh-manual.pdf,rubezh-strazh-manual.pdf,1285943,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/assets/files/solutions/strazh/RUBEZH_STRAZH-OSDP-Замок_2023.pdf,RUBEZH_STRAZH-OSDP-Замок_2023.pdf,2748573,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/assets/files/solutions/strazh/RUBEZH_STRAZH_2024.pdf,RUBEZH_STRAZH_2024.pdf,5264832,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/assets/files/solutions/strazh/RUBEZH_STRAZH_Web-турникет_2023.pdf,RUBEZH_STRAZH_Web-турникет_2023.pdf,6126612,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/assets/files/solutions/strazh/RUBEZH_STRAZH_интеграции.pdf,RUBEZH_STRAZH_интеграции.pdf,1493383,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/assets/files/solutions/strazh/Rubezh-STRAZH-2022.pdf,Rubezh-STRAZH-2022.pdf,5908889,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/assets/files/solutions/strazh/rubezh-strazh-presentation-turnstiles.pdf,rubezh-strazh-presentation-turnstiles.pdf,1055671,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/assets/files/solutions/strazh/ПОРТФОЛИО_RS_20230118.pdf,ПОРТФОЛИО_RS_20230118.pdf,3846308,application/pdf
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/RUBEZH-strazh.png,RUBEZH-strazh.png,232089,image/png
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/equipment/1.png,1.png,16821,image/png
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/equipment/2.png,2.png,17061,image/png
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/equipment/3.png,3.png,22478,image/png
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/equipment/4.png,4.png,10220,image/png
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/equipment/5.png,5.png,13642,image/png
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/equipment/6.png,6.png,14272,image/png
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/yplaylist-1.jpg,yplaylist-1.jpg,16191,image/jpeg
B_td,https://products.rubezh.ru/local/templates/td_rubezh_template/img/pages/solutions/strazh/yplaylist-2.jpg,yplaylist-2.jpg,14065,image/jpeg
B_td,https://products.rubezh.ru/upload/iblock/008/ve7jn8q688w7nu9dpsxf9sf14zmsl533/01ff9b52_8b16_11ec_80db_48df3707765d_7c0ce64a_c499_11ec_80dd_48df3707765d.png,01ff9b52_8b16_11ec_80db_48df3707765d_7c0ce64a_c499_11ec_80dd_48df3707765d.png,143848,image/png
